year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,300741000215,Corvallis High School,Montana,Corvallis K-12 Schools,59828,"Rural, distant",High,Regular school,Not applicable,405,,,,,,,,,14,12,4,0,0,0,Missing/not reported,0,0,0,28,-2,12,-1,-1,907766,89,100,95,97,0,0,0,0,0,0,0,0,0,0,0,125,58,88,17,109,,93,0,0,0,0,0,0,259
2015,300786000225,Culbertson High School,Montana,Culbertson H S,59218,"Rural, remote",High,Regular school,Not applicable,65,,,,,,,,,0,4,2,0,0,0,Missing/not reported,0,4,0,14,-2,6,-1,-1,332377,16,100,80,90,0,0,0,0,0,0,0,0,0,0,0,17,15,13,10,12,7,14,0,0,0,0,0,0,21
2015,300793000226,Custer Co District High,Montana,Custer County H S,59301,"Town, remote",High,Regular school,Not applicable,556,3,Suppressed data,Suppressed data,Suppressed data,3,Suppressed data,Suppressed data,Suppressed data,19,15,2,0,0,0,Missing/not reported,0,6,0,32,-2,19,-1,-1,1599895,146,94,90,92,0,2,1,1,0,2,2,0,2,4,0,140,57,75,13,39,7,107,0,45,2,0,2,2,129
2015,300813000232,Custer High School,Montana,Custer K-12 Schools,59024,"Rural, remote",High,Regular school,Not applicable,26,,,,,,,,,0,2,0,0,0,0,Missing/not reported,0,0,0,3,-2,1,-1,-1,151897,8,100,50,75,0,0,0,0,0,0,0,0,0,0,0,9,,4,,6,4,7,0,0,0,0,0,0,7
2015,300819000236,Cut Bank High School,Montana,Cut Bank H S,59427,"Town, remote",High,Regular school,Not applicable,172,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,864000,43,100,90,95,0,0,0,0,0,0,0,0,0,0,0,20,20,8,8,32,14,35,0,0,0,0,0,0,41
2015,300828000238,Darby High School,Montana,Darby K-12 Schools,59829,"Rural, remote",High,Regular school,Not applicable,104,2,Suppressed data,Suppressed data,Suppressed data,2,Suppressed data,Suppressed data,Suppressed data,6,4,4,0,0,0,Missing/not reported,4,4,0,20,-2,8,-1,-1,420000,24,79,60,69,0,0,0,0,0,0,0,0,0,0,0,27,12,7,,37,,24,0,0,0,0,0,0,22
2015,300834000240,Dawson High School,Montana,Dawson H S,59330,"Town, remote",High,Regular school,Not applicable,389,2,Suppressed data,Suppressed data,Suppressed data,2,Suppressed data,Suppressed data,Suppressed data,18,2,2,0,0,0,Missing/not reported,0,0,0,5,-2,0,-1,-1,938383,93,89,85,87,0,1,0,0,0,0,2,0,0,2,0,152,50,,19,77,19,131,0,3,0,0,2,0,83
2015,300885000252,Denton High School,Montana,Denton H S,59430,"Rural, remote",High,Regular school,Not applicable,32,,,,,,,,,4,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,350000,9,100,50,75,0,0,0,0,0,0,0,0,0,0,0,7,5,7,4,5,4,4,0,0,0,0,0,0,10
2015,300912000261,Dodson High School,Montana,Dodson K-12,59524,"Rural, remote",High,Regular school,Not applicable,25,,,,,,,,,6,2,0,0,0,0,Missing/not reported,0,0,0,2,-2,1,-1,-1,462000,4,Suppressed data,Suppressed data,Suppressed data,0,0,0,0,0,0,0,0,0,0,0,13,8,,4,10,8,8,0,0,0,0,0,0,6
2015,300921000263,Drummond High School,Montana,Drummond H S,59832,"Rural, remote",High,Regular school,Not applicable,84,,,,,,,,,8,7,2,0,0,0,Missing/not reported,0,0,0,14,-2,11,-1,-1,257243,21,100,80,90,0,0,0,0,0,0,0,0,0,0,0,19,,8,5,10,7,16,0,0,0,0,0,0,18
2015,300993000277,Ennis High School,Montana,Ennis K-12 Schools,59729,"Rural, remote",High,Regular school,Not applicable,110,,,,,,,,,19,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,493728,21,100,80,90,0,0,0,0,0,0,0,0,0,0,0,31,7,24,12,9,4,35,0,0,0,0,0,0,34
2015,301017000281,Fairfield High School,Montana,Fairfield H S,59436,"Rural, remote",High,Regular school,Not applicable,110,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1100891,23,100,80,90,0,0,0,0,0,0,0,0,0,0,0,7,21,18,11,7,,22,0,0,0,0,0,0,49
